ID,Yield
ID_P9K9GAHC6FX6,636.8367346938776
ID_9SNP46T1GSJI,815.4
ID_03QW4RBYQEBK,392.15841584158414
ID_YB866N9RY5TU,507.75384615384615
ID_4P7NKCB6LMJ5,359.6875
ID_1TIMGZJLRLWF,636.8367346938776
ID_A8RF0GQGJF5H,736.3333333333334
ID_GT36LGF8SM8K,533.8684210526316
ID_3EUKVYT37JOP,228.03030303030303
ID_ULWP3J0G860C,392.15841584158414
ID_2OICAUFVUF5S,243.72549019607843
ID_SR592R346POT,738.5416666666666
ID_LXZWOINVI194,729.0909090909091
ID_75GYXJW1DYGX,319.74626865671644
ID_CR6L4TL2VEEM,243.72549019607843
ID_9AE1OJ45UFJ3,533.8684210526316
ID_W8U6J9PKGGGI,392.15841584158414
ID_DJBLGDPMS85M,42.0
ID_OFSHZ2KZ1LQ4,42.0
ID_49QTISSSNQ0M,730.6818181818181
ID_RIP1ZN0ST7I3,42.0
ID_RY2QD5TLB4US,420.0970149253731
ID_EVGU94YQTZWM,164.82758620689654
ID_KUNLQSF5FM19,489.5681818181818
ID_A3Y0OIB0BE59,392.15841584158414
ID_Q95BUWXK8RM3,164.82758620689654
ID_5H724YS64665,741.2962962962963
ID_05TGZGOMI6MF,510.655737704918
ID_DNOT9DTVZ6MQ,792.5
ID_U407VXC7F9NZ,355.5164835164835
ID_TOUB2GY1ZHXT,636.8367346938776
ID_9AJCTSUQG7FZ,510.655737704918
ID_UG5GQ68S58OW,420.0970149253731
ID_VUGTKX63R5P0,392.15841584158414
ID_TAIVU9LHBYZ8,489.5681818181818
ID_NTR94XDRQIHZ,151.57894736842104
ID_9NGVV4V11YU2,392.15841584158414
ID_OP7NSDQGR6AE,42.0
ID_EYIQ79MA3T5E,760.1515151515151
ID_IMKLSNJKVI4P,291.35135135135135
ID_D7HMR45HU1ZW,365.70754716981133
ID_UCZXI2H7S2YD,231.07843137254903
ID_8ZCGIWU6GZLO,327.2674418604651
ID_7LDSCZ2OPT0K,489.5681818181818
ID_WCBHSOBP51H1,232.5531914893617
ID_HTEQD0S6QIB8,291.35135135135135
ID_TL9C9OJ8G68U,231.07843137254903
ID_D732BOTXBLSI,365.70754716981133
ID_Y2ZY2HDPU6PE,460.7241379310345
ID_3T35R9QJBF2M,392.15841584158414
ID_RJIJXF4OS4RL,42.0
ID_3PUBL95YQ1AF,818.2352941176471
ID_3RUIBILNO5TH,42.0
ID_9VMYZE08M98X,775.2173913043479
ID_R51LYLFQUFIL,730.6818181818181
ID_Y84JBGTU3NGV,642.0
ID_7F8MCGYBVNP9,392.15841584158414
ID_WWW8P7C0BWWD,328.32758620689657
ID_K6AD8QUXXR6Y,359.6875
ID_J342KZ43X2VJ,636.8367346938776
ID_SP088I6KHJYU,371.63157894736844
ID_X7Y0DSAFDFLN,756.5217391304348
ID_HBHBHNCY4HVH,393.44554455445547
ID_FWYXQF7RP0NA,748.75
